Loaded parameters to layer 'conv1' (shape 50x4x3x3).
Loaded parameters to layer 'conv1' (shape 50).
Loaded parameters to layer 'conv2' (shape 50x50x3x3).
Loaded parameters to layer 'conv2' (shape 50).
Loaded parameters to layer 'nin1' (shape 30x50x1x1).
Loaded parameters to layer 'nin1' (shape 30).
Loaded parameters to layer 'conv3' (shape 50x30x3x3).
Loaded parameters to layer 'conv3' (shape 50).
Loaded parameters to layer 'conv4' (shape 50x50x3x3).
Loaded parameters to layer 'conv4' (shape 50).
Loaded parameters to layer 'nin2' (shape 30x50x1x1).
Loaded parameters to layer 'nin2' (shape 30).
Loaded parameters to layer 'conv5' (shape 50x30x3x3).
Loaded parameters to layer 'conv5' (shape 50).
Loaded parameters to layer 'output' (shape 450x1024).
Loaded parameters to layer 'output' (shape 1024).
# Neural Network with 538934 learnable parameters

## Layer information

  #  name    size
---  ------  --------
  0  input   4x32x32
  1  conv1   50x30x30
  2  conv2   50x28x28
  3  nin1    30x28x28
  4  pool1   30x14x14
  5  conv3   50x12x12
  6  conv4   50x10x10
  7  nin2    30x10x10
  8  pool2   30x5x5
  9  conv5   50x3x3
 10  output  1024

  epoch    trn loss    val loss    trn/val  dur
    347     0.23687     0.24283    0.97546  2.24s
    348     0.23398     0.23834    0.98173  2.23s
    349     0.23727     0.26447    0.89715  2.23s
    350     0.23491     0.24599    0.95499  2.24s
    351     0.24012     0.21037    1.14142  2.23s
    352     0.23859     0.22349    1.06755  2.36s
    353     0.23792     0.24907    0.95526  2.24s
    354     0.23514     0.24071    0.97687  2.24s
    355     0.23818     0.22432    1.06175  2.23s
    356     0.24040     0.20464    1.17477  2.23s
    357     0.23607     0.22915    1.03016  2.23s
    358     0.24150     0.24171    0.99913  2.20s
    359     [36m0.22722[0m     0.23471    0.96806  2.21s
    360     0.23339     0.25971    0.89863  2.21s
    361     0.23612     0.23986    0.98438  2.23s
    362     0.23758     0.23396    1.01546  2.20s
    363     0.23167     0.26041    0.88962  2.20s
    364     0.23569     0.22601    1.04282  2.22s
    365     0.23036     0.24985    0.92199  2.20s
    366     0.23717     0.21496    1.10334  2.23s
    367     0.24228     0.24236    0.99969  2.21s
    368     0.24250     0.24013    1.00990  2.20s
    369     0.23912     0.23775    1.00573  2.21s
    370     0.23937     0.23464    1.02018  2.23s
    371     0.23840     0.23752    1.00369  2.21s
    372     0.23517     0.23451    1.00285  2.22s
    373     0.23145     0.25402    0.91115  2.22s
    374     0.23603     0.19976    1.18156  2.21s
    375     0.23619     0.23101    1.02244  2.24s
    376     0.23875     0.22955    1.04008  2.22s
    377     0.23452     0.25933    0.90433  2.21s
    378     0.23512     0.25105    0.93656  2.20s
    379     0.23789     0.24948    0.95355  2.22s
    380     0.24011     0.24661    0.97365  2.22s
    381     0.23656     0.24445    0.96773  2.21s
    382     0.23622     0.23687    0.99726  2.21s
    383     0.23251     0.25273    0.91999  2.20s
    384     0.24323     0.23171    1.04972  2.21s
    385     0.23380     0.23317    1.00269  2.21s
    386     0.23378     0.25702    0.90957  2.20s
    387     0.23294     0.22873    1.01841  2.24s
    388     0.23674     0.25592    0.92507  2.24s
    389     0.23841     0.25224    0.94518  2.23s
    390     0.23702     0.23327    1.01608  2.26s
    391     0.23740     0.20486    1.15882  2.23s
    392     0.23925     0.23969    0.99816  2.24s
    393     0.23427     0.24397    0.96023  2.24s
    394     0.23709     0.23838    0.99459  2.24s
    395     0.23216     0.26132    0.88840  2.26s
    396     0.23869     0.23945    0.99682  2.24s
    397     0.23562     0.23879    0.98674  2.24s
    398     0.23276     0.24796    0.93869  2.24s
    399     0.23891     0.21745    1.09873  2.24s
    400     0.23616     0.22926    1.03006  2.23s
    401     0.24046     0.26224    0.91695  2.23s
    402     0.23770     0.23287    1.02076  2.23s
    403     0.24174     0.21006    1.15082  2.23s
    404     0.23592     [32m0.18098[0m    1.30356  2.25s
    405     0.23875     0.23206    1.02884  2.22s
    406     0.23908     0.26793    0.89232  2.22s
    407     0.23347     0.24433    0.95557  2.22s
    408     0.23475     0.22482    1.04418  2.20s
    409     0.24133     0.20781    1.16130  2.21s
    410     0.24170     0.23148    1.04415  2.20s
    411     0.23859     0.24499    0.97386  2.20s
    412     0.23769     0.23132    1.02752  2.20s
    413     0.24046     0.23547    1.02120  2.20s
    414     0.23894     0.22831    1.04659  2.23s
    415     0.23496     0.25553    0.91948  2.20s
    416     0.23362     0.22286    1.04828  2.25s
    417     0.24155     0.22095    1.09322  2.21s
    418     0.23682     0.24774    0.95593  2.23s
    419     0.23963     0.22102    1.08423  2.23s
    420     0.23964     0.21447    1.11740  2.20s
    421     0.23417     0.25156    0.93085  2.20s
    422     0.23619     0.22676    1.04157  2.21s
    423     0.22937     0.21202    1.08184  2.22s
    424     0.23916     0.19995    1.19611  2.22s
    425     0.23688     0.26294    0.90092  2.21s
    426     0.23911     0.25153    0.95061  2.21s
    427     0.23685     0.21310    1.11142  2.20s
    428     0.23059     0.25055    0.92035  2.20s
    429     0.23465     0.25599    0.91666  2.23s
    430     0.23696     0.26382    0.89821  2.20s
    431     0.23140     0.22915    1.00981  2.21s
    432     0.23380     0.21163    1.10479  2.22s
    433     0.23718     0.24316    0.97538  2.21s
    434     0.23090     0.22900    1.00833  2.23s
    435     0.24407     0.23115    1.05588  2.23s
    436     0.23957     0.22475    1.06593  2.24s
    437     0.24002     0.25338    0.94727  2.24s
    438     0.23969     0.25993    0.92214  2.24s
    439     0.23051     0.22774    1.01215  2.27s
    440     0.24303     0.25350    0.95869  2.23s
    441     0.23577     0.22275    1.05846  2.26s
    442     0.23686     0.26032    0.90987  2.22s
    443     0.24173     0.23120    1.04553  2.25s
    444     0.23469     0.26591    0.88261  2.24s
    445     0.23189     0.24934    0.92998  2.23s
    446     0.23251     0.23354    0.99559  2.23s
    447     0.23926     0.21784    1.09832  2.23s
    448     0.23888     0.25014    0.95501  2.26s
    449     0.23511     0.27406    0.85787  2.35s
    450     0.23126     0.23808    0.97137  2.37s
    451     0.23398     0.23107    1.01260  2.23s
    452     0.23397     0.25042    0.93431  2.24s
    453     0.23750     0.22161    1.07172  2.24s
    454     0.23663     0.20777    1.13893  2.22s
    455     0.23590     0.24415    0.96622  2.20s
    456     0.23722     0.22858    1.03779  2.20s
    457     0.23627     0.22994    1.02752  2.21s
    458     0.23681     0.23388    1.01254  2.21s
    459     0.23310     0.23357    0.99801  2.23s
    460     0.23143     0.23444    0.98716  2.20s
    461     0.23280     0.22166    1.05025  2.22s
    462     0.23713     0.22301    1.06330  2.20s
    463     0.23453     0.23441    1.00049  2.20s
    464     0.23749     0.22453    1.05774  2.23s
    465     0.23503     0.20379    1.15329  2.21s
    466     0.23404     0.20352    1.14999  2.20s
    467     0.23841     0.23916    0.99684  2.24s
    468     0.23950     0.23912    1.00157  2.21s
    469     0.23540     0.20402    1.15383  2.22s
    470     0.23066     0.20744    1.11192  2.22s
    471     0.23524     0.22613    1.04031  2.21s
    472     0.23999     0.23990    1.00037  2.20s
    473     0.23603     0.23784    0.99243  2.21s
    474     0.23557     0.26444    0.89083  2.23s
    475     0.23644     0.23830    0.99221  2.21s
    476     0.23668     0.23849    0.99241  2.20s
    477     0.23649     0.23137    1.02214  2.21s
    478     0.23481     0.22574    1.04017  2.21s
    479     0.23818     0.25014    0.95217  2.21s
    480     [36m0.22520[0m     0.22872    0.98462  2.20s
    481     0.23790     0.25020    0.95087  2.21s
    482     0.23110     0.21033    1.09876  2.25s
    483     0.22978     0.25616    0.89701  2.25s
    484     0.23469     0.23976    0.97886  2.25s
    485     0.23434     0.27278    0.85907  2.23s
    486     0.23348     0.25348    0.92111  2.23s
